S.No.,HSCode,Commodity,Unit,Jul  2021 (R),Jul  2022 (R),%Growth,Apr-Jul  2021 (R),Apr-Jul  2022 (R),%Growth
878.,73072900,OTHER FITTINGS OF STAINLESS STEEL,KGS  ,0.70,NaN,NaN,0.70,0.01,-99.15
879.,73079990,NON-GALVANISED,KGS  ,4.07,NaN,NaN,4.07,NaN,NaN
880.,73082011,T0WERS FOR TRANSMISSI0N LINE W/N ASSEMBLED,NOS  ,727.56,NaN,NaN,"1,789.24",NaN,NaN
881.,73082019,T0WERS F0R 0THER PURP0SES W/N ASSEMBLED,NOS  ,0.17,NaN,NaN,0.48,NaN,NaN
882.,73089090,OTHER STRUCTURE AND PARTS OF STRUCTURES OF IRON AND STEEL(EXCL FLOATING STRUCTURES),NOS  ,101.16,NaN,NaN,696.80,NaN,NaN
883.,73101090,OTHERS,KGS  ,NaN,NaN,NaN,0.03,NaN,NaN
884.,73129000,"PLAITED BAND,SLINGS AND LIKE OF IRON OR STEEL NT ELECTRCALLY INSULATED",KGS  ,NaN,NaN,NaN,0.96,NaN,NaN
885.,73142090,OTHERS,KGS  ,57.94,NaN,NaN,57.94,NaN,NaN
886.,73151100,ROLLER CHAIN,KGS  ,0.03,0.04,48.00,0.03,0.18,612.00
887.,73151290,OTHERS OF OTHER ARTICULATED LINK CHAIN,KGS  ,0.08,0.01,-91.25,0.09,0.01,-92.31
888.,73152000,SKID CHAIN,KGS  ,NaN,NaN,NaN,NaN,0.03,NaN
889.,73158900,OTHER CHAIN(EXCL ARTICULTD CHAIN),KGS  ,0.18,NaN,NaN,0.19,NaN,NaN
890.,73181110,"SCREW MACHINE,THREADED",KGS  ,NaN,0.00,NaN,NaN,0.04,NaN
891.,73181500,OTHR SCREWS AND BOLTS W/N WTH NUTS OR WASHERS THREADED,KGS  ,NaN,0.61,NaN,58.96,1.28,-97.83
892.,73181600,THREADED NUTS,KGS  ,NaN,0.01,NaN,0.07,0.06,-14.86
893.,73181900,OTHER THREADED ARTICLES,KGS  ,0.01,NaN,NaN,0.07,NaN,NaN
894.,73182100,"SPRNG WASHRS AND OTHR LOCK WASHRS,NON-THRADD",KGS  ,NaN,NaN,NaN,2.70,NaN,NaN
895.,73182200,"OTHER WASHERS,NON-THREADED",KGS  ,0.02,0.00,-86.36,3.94,0.05,-98.81
896.,73182300,"RIVETS,NON-THREADED",KGS  ,NaN,NaN,NaN,0.09,0.02,-77.27
897.,73182910,CIRCLIPS,KGS  ,NaN,NaN,NaN,NaN,NaN,NaN
898.,73182990,OTHER NON-THREADED ARTICLES N.E.S.,KGS  ,0.01,0.00,-62.50,0.16,0.04,-77.64
899.,73199000,OTHER ARTICLES OF 7319,KGS  ,NaN,0.00,NaN,NaN,0.00,NaN
900.,73201011,LEAF SPRING FOR MOTOR VEHICLES,KGS  ,NaN,NaN,NaN,0.08,0.00,-98.73
901.,73201020,LEAF FOR SPRINGS OF IRON OR STEEL,KGS  ,NaN,NaN,NaN,NaN,0.04,NaN
902.,73202000,HELICAL SPRINGS,KGS  ,0.01,NaN,NaN,0.01,NaN,NaN
903.,73209020,SPRING PINS,KGS  ,NaN,NaN,NaN,NaN,NaN,NaN
904.,73209090,OTHERS OF OTHER SPRINGS OF IRON/STEEL,KGS  ,0.02,NaN,NaN,0.08,0.02,-74.03
905.,73221900,OTHER RADIATORS AND PARTS THEREOF,KGS  ,NaN,NaN,NaN,NaN,0.08,NaN
906.,73239310,PRESSURE COOKERS,NOS  ,NaN,NaN,NaN,0.01,NaN,NaN
907.,73239390,OTHR HOUSHOLD ARTICL OF STAINLESS STL NES,NOS  ,0.47,NaN,NaN,0.47,2.57,449.57
908.,73239990,OTHER HOUSEHOLD UTENSILS AND ITS PARTS N.E.S,NOS  ,0.18,NaN,NaN,0.22,0.60,169.06
909.,73242900,OTHER BATHS OF IRON OR STEEL,NOS  ,NaN,NaN,NaN,0.08,NaN,NaN
910.,73251000,OTHR ARTICLES OF NON-MALLEABLE CAST IRON,KGS  ,NaN,0.00,NaN,NaN,0.00,NaN
911.,73259999,OTHER CAST ARTICLES OF IRON OR STEEL N.E.S,KGS  ,NaN,NaN,NaN,0.10,NaN,NaN
912.,73261910,OTHER ARTICLES FORGED OR STAMPED FOR AUTOMOBILES AND EARTH MOVING EQUIPMENTS,KGS  ,NaN,NaN,NaN,NaN,NaN,NaN
913.,73261990,OTHERS OF OTHER ARTICLES OF FORGED OR STAMPED BUT NOT FURTHER WORKED,KGS  ,NaN,NaN,NaN,2.57,0.01,-99.53
914.,73269099,"ALL OTHER ARTICLES OF IRON/STEEL NES OTHER STEERING OR RUDDER EQUIPMENT FOR SHIPS AND BOATS, N.E.S.",KGS  ,NaN,0.00,NaN,0.20,0.00,-98.98
915.,74081190,OTHR COPPR WIRE WTH MAX CRS-SEC DIAMTR>6MM,KGS  ,NaN,NaN,NaN,0.53,NaN,NaN
916.,74091900,"OTHER PLATES,SHEETS ETC OF REFINED COPPER",KGS  ,NaN,NaN,NaN,1.36,NaN,NaN
917.,74122012,BRASS HOSE CONNECTORS,KGS  ,NaN,NaN,NaN,NaN,0.00,NaN
918.,74122019,0THR TUBE OR PIPE FTNGS OF BRASS,KGS  ,NaN,NaN,NaN,0.05,NaN,NaN
919.,74122090,FITTINGS OF BRNZ AND SMLR ALOYS OF COPR NES,KGS  ,NaN,NaN,NaN,NaN,0.02,NaN
920.,74152100,"WASHRS(INCL SPRING WASHRS),NOT THREADED",KGS  ,NaN,NaN,NaN,0.01,0.03,316.67
921.,74199930,*ARTICLES OF BRASS,KGS  ,NaN,NaN,NaN,10.31,NaN,NaN
922.,74199990,*OTHERS,KGS  ,NaN,NaN,NaN,0.00,NaN,NaN
923.,76012010,ALUMINIUM INGOTS -ALLOYED,KGS  ,NaN,0.01,NaN,NaN,0.01,NaN
924.,76071993,PERFORATED OR CUT-TO-SHAPE ALUMNM FOIL NOT ROLLED AND NOT BACKED,KGS  ,1.24,NaN,NaN,1.24,NaN,NaN
925.,76071994,COATED ALUMNM FOIL NOT ROLLED AND NOT BCKD,KGS  ,NaN,NaN,NaN,1.36,1.15,-15.29
926.,76121090,COLLAPSIBLE TUBULAR CONTAINERS :OTHER,KGS  ,NaN,NaN,NaN,2.54,NaN,NaN
927.,76141000,"STRANDED WIRE,CBLS ETC WTH STEEL CORE",KGS  ,61.66,NaN,NaN,61.66,NaN,NaN
928.,76151011,PRESSURE COOKERS,KGS  ,10.63,NaN,NaN,21.00,NaN,NaN
929.,76151090,PARTS,KGS  ,NaN,NaN,NaN,0.07,2.14,"3,001.45"
930.,76161000,"NAILS,TACKS,STAPLES(EXCL HDG NO 8305) SCREWS,BOLTS,NUTS,SCREW,HOOKS,RIVETS ETC.",KGS  ,NaN,NaN,NaN,NaN,NaN,NaN
931.,76169990,OTHERS ARTICLES OF ALUMINIUM N.E.S.,KGS  ,NaN,NaN,NaN,44.06,NaN,NaN
932.,79039000,ZINC POWDERS AND FLAKES,KGS  ,NaN,NaN,NaN,0.00,NaN,NaN
933.,82031000,"FILES,RASPS AND SMRL TOOLS",KGS  ,48.02,NaN,NaN,156.23,49.26,-68.47
934.,82034090,OTHERS,KGS  ,NaN,NaN,NaN,NaN,0.02,NaN
935.,82041110,HND-OPRTED SPANERS NON ADJUSTABLE,KGS  ,NaN,NaN,NaN,NaN,0.74,NaN
936.,82054000,SCREWDRIVERS,NOS  ,NaN,NaN,NaN,NaN,0.02,NaN
937.,82055190,OTHER HOUSEHOLD HAND TOOLS,NOS  ,NaN,NaN,NaN,2.00,NaN,NaN
938.,82055990,OTHR HND TOOL INCL GLAZIERS DIAMONDS NES,NOS  ,NaN,NaN,NaN,0.01,NaN,NaN
939.,82059090,"OTHER, INCLUDING SETS OF ARTICLES OF TWO OR MORE SUBHEADINGS OF THIS HEADING",NOS  ,NaN,NaN,NaN,5.00,NaN,NaN
940.,82071900,"OTHER ROCK DRILNG OR EARTH BORNG TOLS , INCLUDING PARTS",KGS  ,0.41,NaN,NaN,1.41,0.74,-47.16
941.,82079010,METAL WORKING HANDTOOLS,KGS  ,NaN,NaN,NaN,0.34,NaN,NaN
942.,82100000,"HND-OPRETD MCHNCL APPLNCS WEIGHNG <=10KG. USED IN PRPRNG,CONDITNG,SERVNG FOOD/DRINK",KGS  ,NaN,NaN,NaN,0.13,NaN,NaN
943.,82122011,DISPOSABLE CARTRIDGE BLADE,KGS  ,NaN,2.06,NaN,NaN,2.06,NaN
944.,82122019,OTHER SAFETY RAZOR BLADES INCLD RAZOR,KGS  ,1.11,NaN,NaN,40.73,7.26,-82.17
945.,82122020,"SAFETY RAZOR BLADE BLANKS,IN STRIPS",KGS  ,3.86,NaN,NaN,19.27,15.00,-22.16
946.,82159900,OTHR ARTICLES NOT IN SETS,KGS  ,NaN,NaN,NaN,4.59,NaN,NaN
947.,83012000,LOCKS OF A KIND USED FOR MOTOR VEHICLS,NOS  ,NaN,NaN,NaN,0.40,28.55,"7,074.37"
948.,83014090,OTHER LOCKS N.E.S.,NOS  ,3.74,NaN,NaN,3.77,NaN,NaN
949.,83016000,PARTS OF ARTICLES IN HDG 8301,NOS  ,NaN,NaN,NaN,0.03,NaN,NaN
950.,83021010,HINGES 0F STEEL,KGS  ,NaN,51.81,NaN,52.43,128.71,145.47
951.,83021090,HINGES 0F 0THER BASE METAL INCL ALUMINIUM,KGS  ,NaN,NaN,NaN,0.80,NaN,NaN
952.,83024200,OTHER FTTNGS ETC SUITABLE FOR FURNITURE,KGS  ,NaN,NaN,NaN,52.26,72.96,39.62
953.,83062120,TROPHIES PLATED WTH PRECIOUS METAL,KGS  ,NaN,NaN,NaN,0.28,NaN,NaN
954.,83099020,ALUMINIUM CAPS AND CLOSURES,KGS  ,NaN,NaN,NaN,0.03,0.46,"1,433.33"
955.,83099090,OTHER PACKING ACCESSORIES N.E.S.,KGS  ,0.02,NaN,NaN,0.02,NaN,NaN
956.,83100010,ENAMEL IRON SIGNBOARD,KGS  ,NaN,0.00,NaN,NaN,0.00,NaN
957.,83100090,OTHER SYMBOLS OF BASE METAL,KGS  ,NaN,0.00,NaN,NaN,0.00,NaN
958.,83111000,COAT ELCTRD OF BS MTL FR ELCTRC ARC WLDNG,KGS  ,NaN,NaN,NaN,NaN,0.03,NaN
959.,84021100,WTRTUBE BOILRS WTH A STM PRDCTN>45T/HR,KGS  ,NaN,NaN,NaN,0.00,NaN,NaN
960.,84059000,PARTS OF GAS GENERATORS,NOS  ,0.27,NaN,NaN,0.27,NaN,NaN
961.,84099111,"VALVES,INLET AND EXHAUST",KGS  ,0.06,0.02,-76.19,0.39,0.12,-70.81
962.,84099112,PISTONS,KGS  ,0.01,NaN,NaN,0.03,NaN,NaN
963.,84099113,PISTON RINGS,KGS  ,NaN,0.01,NaN,0.02,0.03,113.33
964.,84099114,PISTON ASSEMBLES,KGS  ,0.12,0.06,-53.33,0.12,0.23,94.17
965.,84099191,OTHER CMPONENT PARTS OF PETROL ENGINES FOR MOTOR VEHICLES,KGS  ,0.61,0.13,-78.72,0.67,0.28,-57.55
966.,84099192,PRTS OF PETROL ENGINES EXCL FR MOTOR VHCLS,KGS  ,NaN,NaN,NaN,NaN,0.01,NaN
967.,84099199,OTHER PARTS OF SPRK-IGNITION ENGINES,KGS  ,0.12,NaN,NaN,0.12,NaN,NaN
968.,84099911,"VALVES,INLET AND EXHAUST",KGS  ,NaN,0.01,NaN,NaN,0.04,NaN
969.,84099920,FUEL NOZZELES,KGS  ,NaN,NaN,NaN,0.01,0.01,-9.09
970.,84099941,"COMPONENT PARTS FOR DIESEL ENGINES FOR MOTOR VEHICLES,N.E.S.",KGS  ,NaN,0.00,NaN,0.33,0.00,-99.39
971.,84099990,OTHER PARTS OF SEMI DIESEL ENGINES,KGS  ,0.82,0.02,-97.07,11.99,1.68,-86.02
972.,84101210,TURBNES ETC OF POWR>1000 KW BT<=5000 KW,NOS  ,NaN,NaN,NaN,0.00,NaN,NaN
973.,84109000,PARTS OF HYDRLIC TURBNES INCL REGULATORS,KGS  ,NaN,NaN,NaN,72.48,NaN,NaN
974.,84129090,PARTS OF OTHER ENGINES AND MOTORS,KGS  ,NaN,NaN,NaN,NaN,0.01,NaN
975.,84131199,OTHER PUMPS OF THE TYPE USD IN FILLNG STATIONS/IN GARAGES,NOS  ,NaN,NaN,NaN,0.08,NaN,NaN
976.,84131990,OTHER PUMPS FITTED OR DESIGNED TO BE FTTD WITH A MEASURING DEVICE,NOS  ,NaN,NaN,NaN,0.08,0.08,-2.44
977.,84133020,OIL PUMP,NOS  ,NaN,0.01,NaN,0.00,0.31,"15,400.00"
978.,84133030,WATER PUMP,NOS  ,NaN,NaN,NaN,NaN,0.00,NaN
979.,84133090,"OTHER FUEL, LUBRICATING OR COOLING MEDIUM PUMPS",NOS  ,NaN,NaN,NaN,10.10,0.33,-96.78
980.,84136010,GEAR TYPE PUMPS,NOS  ,NaN,0.00,NaN,NaN,0.00,NaN
981.,84137010,OTHERS CENTRIFUGAL PUMPS PRIMARILY DESIGNED TO HANDLE WATER,NOS  ,NaN,0.07,NaN,0.00,0.07,"3,150.00"
982.,84138190,OTHERS,NOS  ,NaN,0.02,NaN,0.10,0.04,-56.84
983.,84139120,PARTS FOR CENTRIFUGAL PUMPS,KGS  ,NaN,11.64,NaN,NaN,11.64,NaN
984.,84139190,OTHERS,KGS  ,NaN,0.34,NaN,0.08,0.35,334.57
985.,84141000,*VACUUM PUMPS,NOS  ,NaN,NaN,NaN,0.00,NaN,NaN
986.,84142090,OTHER FOOT-OPERATED AIR PUMPS,NOS  ,NaN,NaN,NaN,NaN,0.00,NaN
987.,84143000,COMPRESSORS USD IN REPRIGERATING EQUIPMENT,NOS  ,NaN,NaN,NaN,0.01,NaN,NaN
988.,84144030,SCREW AIR COMPRESSORS,NOS  ,0.00,NaN,NaN,0.01,0.00,-83.33
989.,84145130,PEDESTAL FANS,NOS  ,0.36,NaN,NaN,0.36,NaN,NaN
990.,84145190,OTHERS,NOS  ,NaN,NaN,NaN,0.00,NaN,NaN
991.,84146000,HOODS HVNG MAXIMUM HORIZNTAL SIDE<=120 CM,NOS  ,NaN,NaN,NaN,0.00,NaN,NaN
992.,84148019,OTHER GAS COMPRESSORS,NOS  ,NaN,NaN,NaN,0.02,NaN,NaN
993.,84148030,TURBO CHARGER,NOS  ,NaN,NaN,NaN,0.01,0.00,-80.00
994.,84148090,OTHERS,NOS  ,NaN,NaN,NaN,19.21,NaN,NaN
995.,84149020,PRTS OF FREE-PSTN GNRTRS OF GAS TURBINE,KGS  ,NaN,NaN,NaN,1.95,NaN,NaN
996.,84149030,REGULATORS AND PARTS OF ELECTRIC FANS,KGS  ,NaN,NaN,NaN,0.30,NaN,NaN
997.,84149090,OTHERS,KGS  ,NaN,NaN,NaN,0.99,NaN,NaN
998.,84151010,"SPLIT SYSTEM AIRCONDTNG MCHNS,CMPRSNG MOTR-DRVN FAN AND ELMNTS FR CHNG TMPRTR AND HUMDTY",NOS  ,NaN,NaN,NaN,0.02,NaN,NaN
999.,84179000,PARTS OF NON ELECTRIC FURNACES OVENS ETC,KGS  ,NaN,NaN,NaN,0.14,0.09,-38.57
1000.,84182100,"COMPRESSION-TYPE REFRIGERATORS,HOUSEHOLD",NOS  ,0.13,NaN,NaN,0.32,NaN,NaN
1001.,84182900,OTHER HOUSEHOLD TYPE REFRIGERATORS,NOS  ,0.00,NaN,NaN,0.00,NaN,NaN
1002.,84186920,WATER COOLER,NOS  ,NaN,NaN,NaN,0.03,NaN,NaN
1003.,84189900,OTHER PARTS OF HDG 8418,KGS  ,0.01,NaN,NaN,0.01,NaN,NaN
1004.,84192090,"STERILISERS,N.E.S.",NOS  ,NaN,NaN,NaN,0.00,NaN,NaN
1005.,84194020,DISTILLING APPARATUS,NOS  ,0.00,NaN,NaN,0.00,NaN,NaN
1006.,84196000,MACHINERY FOR LIQUEFYING AIR/OTHR GASES,NOS  ,0.02,NaN,NaN,0.02,NaN,NaN
1007.,84198190,"OTHR MACHINRY,PLANT AND EQUIPMENT FOR MAKINGHOT DRINKS OR FOR COOKING/HEATING FOOD",NOS  ,NaN,NaN,NaN,0.00,NaN,NaN
1008.,84198940,COOLNG TWRS/PLNTS FR DRCT COOLNG BY RECIRCULTD WATER,NOS  ,NaN,NaN,NaN,0.00,0.00,-50.00
1009.,84199090,PRTS OF MCHNRY PLNT AND SMLR LBRTRY EQPMNT ANDOF INSTNTNS/STORG WTR HEATRS (EXCL DOMSTC TYPE)FALLING WTHN HDG NO.8419,KGS  ,NaN,NaN,NaN,NaN,0.15,NaN
1010.,84209100,PARTS OF CYLINDERS,KGS  ,NaN,NaN,NaN,0.03,NaN,NaN
1011.,84211999,OTHER CENTRIFUGES,NOS  ,NaN,NaN,NaN,0.01,NaN,NaN
1012.,84212120,HOUSEHOLD TYPE FILTERS,NOS  ,0.03,NaN,NaN,0.05,NaN,NaN
1013.,84212190,OTHERS,NOS  ,0.23,26.30,"11,487.22",1.02,58.52,"5,615.23"
1014.,84212300,OIL/PRTL-FLTRS FR INTRNL CMBSTN ENGNS,NOS  ,1.00,NaN,NaN,1.00,NaN,NaN
1015.,84212900,OTHR FLTRNG/PURFYNG MCHNRY AND APPRTS FR LQD,NOS  ,0.48,NaN,NaN,7.06,0.50,-92.92
1016.,84213100,INTAKE AIR FLTRS FR INTRNL CMBSTN ENGNS,NOS  ,0.10,1.02,920.00,0.10,4.92,"4,819.00"
1017.,84213920,AIR PURIFIERS OR CLEANERS,NOS  ,NaN,NaN,NaN,0.01,NaN,NaN
1018.,84213990,OTHERS,NOS  ,NaN,NaN,NaN,0.12,0.12,-6.50
1019.,84219100,"PRTS OF CENTRIFUGES,INCL CNTRFGL DRYRS",NOS  ,NaN,0.01,NaN,NaN,0.01,NaN
1020.,84219900,OTHR PARTS OF FLTRNG/PURFYNG MCHNRY,NOS  ,9.10,9.61,5.67,11.76,34.13,190.20
1021.,84221900,OTHR DISH WASHING MACHINES,NOS  ,NaN,NaN,NaN,0.00,NaN,NaN
1022.,84222000,MCHNRY FR CLNG/DRYNG BOTLS/OTHR CNTNRS,NOS  ,NaN,NaN,NaN,0.00,NaN,NaN
1023.,84223000,"MCHNRY FR FILLNG,CLOSNG,SEALNG,CAPSULNG OR LABELLING BOTTLES,CANS,BOXES,BAGS/OTHR CONTAINERS;MCHNRY FOR AERATING BEVER",KGS  ,NaN,NaN,NaN,6.15,0.55,-91.05
1024.,84224000,OTHR PACKNG/WRAPNG MACNRY INCL HEAT-SHRINK WRAPNG MACHNRY,KGS  ,NaN,NaN,NaN,1.75,1.09,-37.75
1025.,84229090,PARTS OF OTHER MACHINERY,KGS  ,NaN,0.00,NaN,1.38,0.01,-99.28
1026.,84239020,PARTS OF WEIGHING MACHINERY,KGS  ,0.50,NaN,NaN,0.50,NaN,NaN
1027.,84242000,SPRAY GUNS AND SIMILAR APPLIANCES,NOS  ,0.15,NaN,NaN,0.15,NaN,NaN
1028.,84244900,OTHER,NOS  ,NaN,NaN,NaN,0.00,NaN,NaN
1029.,84248200,AGRICULTURAL OR HOTICULTURAL MCHNCL APPLNCS,NOS  ,NaN,NaN,NaN,NaN,2.25,NaN
1030.,84248990,OTHERS,NOS  ,NaN,NaN,NaN,0.00,NaN,NaN
1031.,84295200,MCHNRY WTH A 360 DGR. RVLVNG SUPR-STRCTR,NOS  ,0.00,NaN,NaN,0.02,0.00,-93.33
1032.,84295900,"OTHER MCHNCL SHOVLS,EXCVTRS AND SHOVL LOADRS",NOS  ,NaN,NaN,NaN,0.07,NaN,NaN
1033.,84304110,TUBE WELL DRLLNG AND CORE DRLLNG MCHNRY,NOS  ,NaN,NaN,NaN,NaN,0.00,NaN
1034.,84311010,"PRTS OF PULLEY TCKL,HOISTS,WNCHS/CPSTNS",KGS  ,NaN,NaN,NaN,0.06,NaN,NaN
1035.,84311090,OTHERS,KGS  ,0.00,NaN,NaN,0.00,NaN,NaN
1036.,84314930,"PRTS OF OTHR EXCVTNG,LVLNG,TMPNG AND EXCVTNGMCHNRY FR EARTH MNRL/ORES,SLF-PRPLD",KGS  ,NaN,NaN,NaN,21.50,NaN,NaN
1037.,84314990,"PRTS OF OTHR MACNRY OF HD 8426,8429,8430",KGS  ,NaN,0.01,NaN,11.35,0.01,-99.93
1038.,84329090,PARTS OF OTHER AGRICULTURAL AND HORTICULTURAL MACHINERY OF HDG NO 843280,NOS  ,NaN,NaN,NaN,7.15,NaN,NaN
1039.,84371000,"MACHINES FOR CLEANING,SORTING OR GRADING SEED,GRAIN OR DRIED LEGUMINOUS VEGETABLES",NOS  ,NaN,NaN,NaN,0.00,NaN,NaN
1040.,84383090,SUGAR MANUFACTURING MCHNRY(EXCL CNTRFGS),NOS  ,NaN,NaN,NaN,0.00,NaN,NaN
1041.,84389090,PARTS OF OTHR FOOD PROCESSING MACHINERY,KGS  ,NaN,NaN,NaN,0.07,NaN,NaN
1042.,84399900,PRTS OF MCHNRY FR MKNG/FNSHNG PAPR/PAPRBRD,KGS  ,NaN,NaN,NaN,0.01,NaN,NaN
1043.,84425020,LITHOGRAPHIC PLATES,KGS  ,NaN,NaN,NaN,9.12,NaN,NaN
1044.,84433100,"MACHINES WHICH PERFORM TWO OR MORE OF THE FUNCTIONS OF PRINTING, COPYING OR FACSIMILE TRANSMISSION, CAPABLE OF C",NOS  ,0.00,NaN,NaN,0.03,NaN,NaN
1045.,84433290,OTHER,NOS  ,NaN,NaN,NaN,0.01,NaN,NaN
1046.,84433910,INK-JET PRINTNG MACHINERY,NOS  ,NaN,NaN,NaN,0.00,NaN,NaN
1047.,84433990,OTHER,NOS  ,NaN,NaN,NaN,0.00,0.00,0.00
1048.,84439959,"OTHER PARTS AND ACCESSORIES OF GOODS OF SUB-HEADING 844331, 844332",NOS  ,NaN,NaN,NaN,0.05,NaN,NaN
1049.,84439990,PRTS OF OTHR PRNTNG MCHNRY AND MCHNS FR USES ANCILLARY TO PRINTING,NOS  ,NaN,0.29,NaN,NaN,0.59,NaN
1050.,84483990,0THERS,KGS  ,NaN,NaN,NaN,0.32,NaN,NaN
1051.,84484990,OTHR PRTS AND ACCSSRS OF OTHER WEAVING MCHNS,KGS  ,NaN,NaN,NaN,0.92,NaN,NaN
1052.,84513010,HAND-IRONING PRESS,NOS  ,NaN,NaN,NaN,0.48,NaN,NaN
1053.,84521012,HAND OPERATED SEWNG MCHNS HH TYPE CMPLTE WTH TABLE/STAND,NOS  ,NaN,NaN,NaN,1.20,3.55,195.83
1054.,84521019,OTHER SEWNG MCHNS HH TYPE CMPLTE WTH TABLE,NOS  ,NaN,NaN,NaN,NaN,2.40,NaN
1055.,84521022,HAND OPERATED SEWNG MCHNS HH TYPE WTHOUT TABLE/STAND,NOS  ,8.90,17.88,100.90,31.59,43.42,37.47
1056.,84521029,OTHER SEWNG MCHNS HH TYPE WTHOUT TABLE,NOS  ,0.05,NaN,NaN,0.10,0.10,0.00
1057.,84522110,AUTOMATIC INDUSTRIAL SEWNG MCHNS WTH CAPCTY >=150WATT AND SPD>=1500 STCHS/MIN,NOS  ,NaN,0.03,NaN,NaN,0.03,NaN
1058.,84522190,OTHER AUTMATIC SEWNG MCHNS,NOS  ,0.05,NaN,NaN,0.50,NaN,NaN
1059.,84522900,OTHER SEWING MACHINES,NOS  ,0.04,NaN,NaN,0.83,0.05,-94.55
1060.,84523010,NEEDLES FR HH TYPE SEWNG MCHNS,KGS  ,0.00,NaN,NaN,0.00,NaN,NaN
1061.,84529011,"FURNITURE, BASES AND COVERS",KGS  ,0.51,NaN,NaN,0.51,4.86,854.81
1062.,84529019,"PARTS OF FURNITURE, BASES AND COVER FOR SEWING MACHINES",KGS  ,NaN,NaN,NaN,46.50,NaN,NaN
1063.,84529091,OF HOUSEHOLD SEWING MACHINES,KGS  ,1.89,1.35,-28.59,12.23,8.66,-29.17
1064.,84529099,OTHER PARTS OF NON-HOUSEHOLD SEWING MACHINES,KGS  ,0.88,0.10,-88.61,3.75,3.25,-13.51
1065.,84543010,DIE-CASTING MACHINES,NOS  ,NaN,NaN,NaN,0.00,NaN,NaN
1066.,84552110,HOT ROLLING MILLS,NOS  ,0.00,NaN,NaN,0.00,NaN,NaN
1067.,84553000,ROLLS FOR ROLLING MILLS,NOS  ,NaN,NaN,NaN,0.00,0.02,800.00
1068.,84559000,OTHER PARTS OF MTL ROLLING MILLS,KGS  ,1.18,NaN,NaN,12.28,NaN,NaN
1069.,84609010,POLISHING AND BAFFING MACHINES,NOS  ,NaN,NaN,NaN,0.00,NaN,NaN
1070.,84624990,OTHR PUNCHNG AND NOTCHNG MCHNS,NOS  ,NaN,NaN,NaN,0.00,NaN,NaN
1071.,84633030,CHAIN MAKING,NOS  ,NaN,NaN,NaN,0.01,NaN,NaN
1072.,84678990,OTHERS,NOS  ,0.00,NaN,NaN,0.00,NaN,NaN
1073.,84681000,HAND-HELD BLOW LAMP,NOS  ,NaN,NaN,NaN,NaN,0.00,NaN
1074.,84688000,OTHER MACHINERY AND APPARATUS OF HDG 8468,NOS  ,0.00,NaN,NaN,0.00,NaN,NaN
1075.,84689000,PARTS OF ARTICLES OF HEADING 8468,KGS  ,NaN,NaN,NaN,NaN,0.00,NaN
1076.,84701000,ELCTRNC CALCULTRS CAPBL OF OPERTN EXCL EXTRNL SOURC OF ELCTRC POWR AND POCKT-SIZ DATA RECORDNG AND DISPLAYNG MACHNS,NOS  ,NaN,NaN,NaN,0.86,0.02,-97.67
1077.,84703000,OTHR CALCULATING MACHINES,NOS  ,NaN,NaN,NaN,NaN,0.00,NaN
1078.,84709010,ELECTRICALLY OPARATED ACCOUNTING MACHINES,NOS  ,NaN,NaN,NaN,0.02,NaN,NaN
1079.,84713010,"PERSONAL COMPUTER (LAPTOP,PALMTOP,ETC)",NOS  ,NaN,NaN,NaN,0.01,NaN,NaN
1080.,84714190,OTHR DGTL AUTOMATC DATA-PROCESNG MACHINE COMPRISNG A CENTRAL PROCESNG UNIT AND AN INPUT AND OUTPUT UNIT WH/NOT COMBI,NOS  ,NaN,NaN,NaN,0.01,NaN,NaN
1081.,84717030,REMOVAL/EXCHANGEABLE DISC DRIVES,NOS  ,0.01,NaN,NaN,0.01,NaN,NaN
1082.,84717090,OTHERS,NOS  ,NaN,NaN,NaN,0.03,NaN,NaN
1083.,84719000,OTHER,NOS  ,NaN,NaN,NaN,0.02,NaN,NaN
1084.,84729030,AUTOMATIC BANK NOTE DISPENSERS,NOS  ,NaN,NaN,NaN,NaN,0.01,NaN
1085.,84732900,PRTS AND ACCSSRS OF OTHR MCHNS OF 8470,KGS  ,NaN,NaN,NaN,0.08,NaN,NaN
1086.,84779000,PARTS OF MACHNS OF WORKING RBR/PLASTIC,KGS  ,NaN,NaN,NaN,NaN,0.16,NaN
1087.,84792010,OIL SEED CRUSHNG/GRNDNG MCHNRY (INCLUDING PURIFYNG TANKS),NOS  ,NaN,NaN,NaN,0.00,NaN,NaN
1088.,84792090,OIL SEED CRUSHNG/GRNDNG MCHNRY (INCLUDING FOR EXTRCTN/PRPN OF ANML/VGTBL FATSANDOILS,NOS  ,NaN,NaN,NaN,0.01,NaN,NaN
1089.,84798200,"MXNG,KNEADNG,CRUSHNG,GRNDNG,SCRENG, SIFTNG,HOMOGENSNG,EMULSIFYNG/STIRRNG MCHNS",NOS  ,NaN,0.00,NaN,NaN,0.00,NaN
1090.,84798970,"CHMCL PLANT AND OTHR MCHNRY FR MNFCTRNG CHMCLS,PHRMCTCLS,ETC",NOS  ,NaN,NaN,NaN,0.00,NaN,NaN
1091.,84798999,OTHER,NOS  ,NaN,0.00,NaN,0.01,0.00,-85.71
